degree,numGrp,delta,isKM02,isKM08,isKM08_v2,time
2,2,"{ 1 }",true,false,true,0.000
2,2,"{ 2 }",true,false,true,0.000
3,3,"{ 1 }",true,false,true,0.000
3,3,"{ 2 }",true,false,true,0.000
3,3,"{ 3 }",true,false,true,0.000
3,4,"{ 1, 3 }",true,true,true,0.000
3,4,"{ 2, 3 }",true,true,true,0.000
3,4,"{ 1, 2 }",true,true,true,0.000
4,5,"{ 2, 3, 4 }",true,true,true,0.000
4,5,"{ 1, 2, 4 }",true,true,true,0.000
4,5,"{ 1, 2, 3 }",true,true,true,0.000
4,5,"{ 1, 3, 4 }",true,true,true,0.000
4,6,"{ 2, 3, 4 }",true,true,true,0.000
4,6,"{ 1, 2, 4 }",true,true,true,0.000
4,6,"{ 1, 2, 3 }",true,true,true,0.000
4,6,"{ 1, 3, 4 }",true,true,true,0.000
5,7,"{ 1 }",true,false,true,0.000
5,7,"{ 2 }",true,false,true,0.000
5,7,"{ 3 }",true,false,true,0.000
5,7,"{ 4 }",true,false,true,0.000
5,7,"{ 5 }",true,false,true,0.000
5,8,"{ 1, 3 }",true,false,true,0.010
5,8,"{ 2, 5 }",true,false,true,0.010
5,8,"{ 1, 5 }",true,false,true,0.010
5,8,"{ 1, 4 }",true,false,true,0.010
5,8,"{ 4, 5 }",true,false,true,0.010
5,8,"{ 2, 4 }",true,false,true,0.010
5,8,"{ 1, 2 }",true,false,true,0.010
5,8,"{ 2, 3 }",true,false,true,0.010
5,8,"{ 3, 4 }",true,false,true,0.010
5,8,"{ 3, 5 }",true,false,true,0.010
5,9,"{ 1, 2, 4, 5 }",true,true,true,0.000
5,9,"{ 2, 3, 4, 5 }",true,true,true,0.000
5,9,"{ 1, 3, 4, 5 }",true,true,true,0.000
5,9,"{ 1, 2, 3, 5 }",true,true,true,0.000
5,9,"{ 1, 2, 3, 4 }",true,true,true,0.000
5,10,"{ 1, 2, 4, 5 }",true,true,true,0.000
5,10,"{ 2, 3, 4, 5 }",true,true,true,0.000
5,10,"{ 1, 3, 4, 5 }",true,true,true,0.000
5,10,"{ 1, 2, 3, 5 }",true,true,true,0.000
5,10,"{ 1, 2, 3, 4 }",true,true,true,0.000
5,11,"{ 1, 2, 4, 5 }",true,true,true,0.000
5,11,"{ 2, 3, 4, 5 }",true,true,true,0.000
5,11,"{ 1, 3, 4, 5 }",true,true,true,0.000
5,11,"{ 1, 2, 3, 5 }",true,true,true,0.000
5,11,"{ 1, 2, 3, 4 }",true,true,true,0.000
6,12,"{ 1, 3, 4, 5, 6 }",true,true,true,0.000
6,12,"{ 2, 3, 4, 5, 6 }",true,true,true,0.000
6,12,"{ 1, 2, 3, 4, 6 }",true,true,true,0.000
6,12,"{ 1, 2, 4, 5, 6 }",true,true,true,0.000
6,12,"{ 1, 2, 3, 5, 6 }",true,true,true,0.000
6,12,"{ 1, 2, 3, 4, 5 }",true,true,true,0.000
6,13,"{ 1, 3, 4, 5, 6 }",true,true,true,0.000
6,13,"{ 2, 3, 4, 5, 6 }",true,true,true,0.000
6,13,"{ 1, 2, 3, 4, 6 }",true,true,true,0.000
6,13,"{ 1, 2, 4, 5, 6 }",true,true,true,0.000
6,13,"{ 1, 2, 3, 5, 6 }",true,true,true,0.000
6,13,"{ 1, 2, 3, 4, 5 }",true,true,true,0.000
6,14,"{ 1, 3, 4, 5, 6 }",true,true,true,0.010
6,14,"{ 2, 3, 4, 5, 6 }",true,true,true,0.010
6,14,"{ 1, 2, 3, 4, 6 }",true,true,true,0.010
6,14,"{ 1, 2, 4, 5, 6 }",true,true,true,0.010
6,14,"{ 1, 2, 3, 5, 6 }",true,true,true,0.010
6,14,"{ 1, 2, 3, 4, 5 }",true,true,true,0.010
6,15,"{ 1, 3, 4, 5, 6 }",true,true,true,0.020
6,15,"{ 2, 3, 4, 5, 6 }",true,true,true,0.020
6,15,"{ 1, 2, 3, 4, 6 }",true,true,true,0.020
6,15,"{ 1, 2, 4, 5, 6 }",true,true,true,0.020
