degree,numGrp,alpha,delta,isSelfPaired,isGrphKM,time
2,2,1,"{ 2 }",true,true,0.000
2,2,2,"{ 1 }",true,true,0.000
3,3,1,"{ 2 }",false,false,0.000
3,3,1,"{ 3 }",false,false,0.000
3,3,2,"{ 1 }",false,false,0.000
3,3,2,"{ 3 }",false,false,0.000
3,3,3,"{ 1 }",false,false,0.000
3,3,3,"{ 2 }",false,false,0.000
3,4,1,"{ 2, 3 }",true,true,0.000
3,4,1,"{ 2, 3 }",true,true,0.000
3,4,2,"{ 1, 3 }",true,true,0.000
3,4,2,"{ 1, 3 }",true,true,0.000
3,4,3,"{ 1, 2 }",true,true,0.000
3,4,3,"{ 1, 2 }",true,true,0.000
4,5,1,"{ 2, 3, 4 }",true,true,0.000
4,5,1,"{ 2, 3, 4 }",true,true,0.000
4,5,1,"{ 2, 3, 4 }",true,true,0.000
4,5,2,"{ 1, 3, 4 }",true,true,0.000
4,5,2,"{ 1, 3, 4 }",true,true,0.000
4,5,2,"{ 1, 3, 4 }",true,true,0.000
4,5,3,"{ 1, 2, 4 }",true,true,0.000
4,5,3,"{ 1, 2, 4 }",true,true,0.000
4,5,3,"{ 1, 2, 4 }",true,true,0.000
4,5,4,"{ 1, 2, 3 }",true,true,0.000
4,5,4,"{ 1, 2, 3 }",true,true,0.000
4,5,4,"{ 1, 2, 3 }",true,true,0.000
4,6,1,"{ 2, 3, 4 }",true,true,0.000
4,6,1,"{ 2, 3, 4 }",true,true,0.000
4,6,1,"{ 2, 3, 4 }",true,true,0.000
4,6,2,"{ 1, 3, 4 }",true,true,0.000
4,6,2,"{ 1, 3, 4 }",true,true,0.000
4,6,2,"{ 1, 3, 4 }",true,true,0.000
4,6,3,"{ 1, 2, 4 }",true,true,0.000
4,6,3,"{ 1, 2, 4 }",true,true,0.000
4,6,3,"{ 1, 2, 4 }",true,true,0.000
4,6,4,"{ 1, 2, 3 }",true,true,0.000
4,6,4,"{ 1, 2, 3 }",true,true,0.000
4,6,4,"{ 1, 2, 3 }",true,true,0.000
5,7,1,"{ 2 }",false,false,0.000
5,7,1,"{ 3 }",false,false,0.000
5,7,1,"{ 4 }",false,false,0.000
5,7,1,"{ 5 }",false,false,0.000
5,7,2,"{ 1 }",false,false,0.000
5,7,2,"{ 3 }",false,false,0.000
5,7,2,"{ 4 }",false,false,0.000
5,7,2,"{ 5 }",false,false,0.000
5,7,3,"{ 1 }",false,false,0.000
5,7,3,"{ 2 }",false,false,0.000
5,7,3,"{ 4 }",false,false,0.000
5,7,3,"{ 5 }",false,false,0.000
5,7,4,"{ 1 }",false,false,0.000
5,7,4,"{ 2 }",false,false,0.000
5,7,4,"{ 3 }",false,false,0.000
5,7,4,"{ 5 }",false,false,0.000
5,7,5,"{ 1 }",false,false,0.000
5,7,5,"{ 2 }",false,false,0.000
5,7,5,"{ 3 }",false,false,0.000
5,7,5,"{ 4 }",false,false,0.000
5,8,1,"{ 2, 5 }",true,true,0.000
5,8,1,"{ 2, 5 }",true,true,0.000
5,8,1,"{ 3, 4 }",true,true,0.000
5,8,1,"{ 3, 4 }",true,true,0.000
5,8,2,"{ 1, 3 }",true,true,0.000
5,8,2,"{ 1, 3 }",true,true,0.000
5,8,2,"{ 4, 5 }",true,true,0.000
5,8,2,"{ 4, 5 }",true,true,0.000
5,8,3,"{ 1, 5 }",true,true,0.000
5,8,3,"{ 1, 5 }",true,true,0.000
5,8,3,"{ 2, 4 }",true,true,0.000
5,8,3,"{ 2, 4 }",true,true,0.000
5,8,4,"{ 3, 5 }",true,true,0.000
5,8,4,"{ 3, 5 }",true,true,0.000
5,8,4,"{ 1, 2 }",true,true,0.000
5,8,4,"{ 1, 2 }",true,true,0.000
5,8,5,"{ 1, 4 }",true,true,0.000
5,8,5,"{ 1, 4 }",true,true,0.000
5,8,5,"{ 2, 3 }",true,true,0.000
5,8,5,"{ 2, 3 }",true,true,0.000
5,9,1,"{ 2, 3, 4, 5 }",true,true,0.000
5,9,1,"{ 2, 3, 4, 5 }",true,true,0.000
5,9,1,"{ 2, 3, 4, 5 }",true,true,0.000
5,9,1,"{ 2, 3, 4, 5 }",true,true,0.000
5,9,2,"{ 1, 3, 4, 5 }",true,true,0.000
5,9,2,"{ 1, 3, 4, 5 }",true,true,0.000
5,9,2,"{ 1, 3, 4, 5 }",true,true,0.000
5,9,2,"{ 1, 3, 4, 5 }",true,true,0.000
5,9,3,"{ 1, 2, 4, 5 }",true,true,0.000
5,9,3,"{ 1, 2, 4, 5 }",true,true,0.000
5,9,3,"{ 1, 2, 4, 5 }",true,true,0.000
5,9,3,"{ 1, 2, 4, 5 }",true,true,0.000
5,9,4,"{ 1, 2, 3, 5 }",true,true,0.000
5,9,4,"{ 1, 2, 3, 5 }",true,true,0.000
5,9,4,"{ 1, 2, 3, 5 }",true,true,0.000
5,9,4,"{ 1, 2, 3, 5 }",true,true,0.000
5,9,5,"{ 1, 2, 3, 4 }",true,true,0.000
5,9,5,"{ 1, 2, 3, 4 }",true,true,0.000
5,9,5,"{ 1, 2, 3, 4 }",true,true,0.000
5,9,5,"{ 1, 2, 3, 4 }",true,true,0.000
5,10,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,10,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,10,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,10,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,10,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,10,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,10,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,10,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,10,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,10,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,10,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,10,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,10,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,10,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,10,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,10,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,10,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,10,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,10,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,10,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,11,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,11,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,11,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,11,1,"{ 2, 3, 4, 5 }",true,true,0.010
5,11,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,11,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,11,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,11,2,"{ 1, 3, 4, 5 }",true,true,0.010
5,11,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,11,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,11,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,11,3,"{ 1, 2, 4, 5 }",true,true,0.010
5,11,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,11,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,11,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,11,4,"{ 1, 2, 3, 5 }",true,true,0.010
5,11,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,11,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,11,5,"{ 1, 2, 3, 4 }",true,true,0.010
5,11,5,"{ 1, 2, 3, 4 }",true,true,0.010
6,12,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,12,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,12,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,12,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,12,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,12,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,12,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,12,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,12,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,12,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,12,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,12,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,12,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,12,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,12,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,12,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,12,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,12,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,12,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,12,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,12,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,12,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,12,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,12,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,12,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,12,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,12,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,12,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,12,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,12,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,13,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,13,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,13,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,13,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,13,1,"{ 2, 3, 4, 5, 6 }",true,true,0.010
6,13,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,13,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,13,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,13,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,13,2,"{ 1, 3, 4, 5, 6 }",true,true,0.010
6,13,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,13,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,13,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,13,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,13,3,"{ 1, 2, 4, 5, 6 }",true,true,0.010
6,13,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,13,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,13,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,13,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,13,4,"{ 1, 2, 3, 5, 6 }",true,true,0.010
6,13,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,13,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,13,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,13,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,13,5,"{ 1, 2, 3, 4, 6 }",true,true,0.010
6,13,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,13,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,13,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,13,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,13,6,"{ 1, 2, 3, 4, 5 }",true,true,0.010
6,14,1,"{ 2, 3, 4, 5, 6 }",true,true,0.030
6,14,1,"{ 2, 3, 4, 5, 6 }",true,true,0.030
6,14,1,"{ 2, 3, 4, 5, 6 }",true,true,0.030
6,14,1,"{ 2, 3, 4, 5, 6 }",true,true,0.030
6,14,1,"{ 2, 3, 4, 5, 6 }",true,true,0.030
6,14,2,"{ 1, 3, 4, 5, 6 }",true,true,0.030
6,14,2,"{ 1, 3, 4, 5, 6 }",true,true,0.030
6,14,2,"{ 1, 3, 4, 5, 6 }",true,true,0.030
6,14,2,"{ 1, 3, 4, 5, 6 }",true,true,0.030
6,14,2,"{ 1, 3, 4, 5, 6 }",true,true,0.030
6,14,3,"{ 1, 2, 4, 5, 6 }",true,true,0.030
6,14,3,"{ 1, 2, 4, 5, 6 }",true,true,0.030
6,14,3,"{ 1, 2, 4, 5, 6 }",true,true,0.030
6,14,3,"{ 1, 2, 4, 5, 6 }",true,true,0.030
6,14,3,"{ 1, 2, 4, 5, 6 }",true,true,0.030
6,14,4,"{ 1, 2, 3, 5, 6 }",true,true,0.030
6,14,4,"{ 1, 2, 3, 5, 6 }",true,true,0.030
6,14,4,"{ 1, 2, 3, 5, 6 }",true,true,0.030
