Type; A; B; C; nu; 3; 4; 5; 6; 7A; 7B; 8A; 8B; 9; 10; 11; 12
1; 1; 5; 9; q; 0; 0; 0; 108; 0; 0; 0; 0; 0; 0; 0; 0
2; 0; 7; 8; q; 0; 0; 0; 0; 81; 0; 0; 0; 0; 0; 0; 0
3; 2; 5; 8; l; 0; 0; 162; 0; 0; 0; 0; 0; 0; 0; 0; 0
4; 3; 5; 7; q; 0; 324; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
5; 0; 9; 6; l; 9; 0; 0; 0; 27; 0; 0; 0; 0; 0; 0; 0
6; 2; 7; 6; q; 216; 0; 162; 0; 0; 0; 0; 0; 0; 0; 0; 0
7; 4; 5; 6; l; 54; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
8; 2; 9; 4; l; 81; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
9; 4; 7; 4; q; 81; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
10; 0; 15; 0; q; 36; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
11; 6; 9; 0; l; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
