Type; A; B; C; D; nu; 3; 4; 5; 6; 7A; 7B; 8A; 8B; 9; 10; 11; 12
1; 0; 3; 0; 12; q; 216; 0; 0; 0; 648; 0; 0; 0; 648; 0; 0; 0
2; 0; 4; 0; 11; q; 0; 0; 0; 3888; 0; 0; 3888; 0; 0; 0; 0; 0
3; 0; 5; 0; 10; q; 972; 0; 1944; 0; 4860; 1944; 0; 0; 1944; 0; 0; 0
4; 1; 0; 5; 9; q; 648; 0; 0; 0; 0; 0; 0; 0; 648; 0; 0; 0
5; 3; 0; 3; 9; l; 144; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
6; 0; 6; 0; 9; q; 0; 1296; 0; 5184; 0; 0; 0; 0; 0; 0; 0; 0
7; 0; 1; 6; 8; q; 972; 0; 0; 0; 3888; 0; 0; 0; 0; 0; 972; 0
8; 1; 1; 5; 8; q; 0; 0; 0; 7776; 0; 0; 0; 0; 0; 0; 0; 0
9; 2; 1; 4; 8; q; 1944; 0; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0
10; 2; 1; 4; 8; l; 972; 0; 0; 0; 0; 972; 0; 0; 0; 0; 0; 0
11; 0; 7; 0; 8; q; 0; 0; 1944; 0; 972; 0; 0; 0; 0; 0; 0; 0
12; 0; 2; 6; 7; q; 0; 0; 0; 15552; 0; 0; 11664; 19440; 0; 0; 0; 0
13; 1; 2; 5; 7; q; 7776; 0; 13608; 0; 0; 15552; 0; 0; 1944; 0; 0; 0
14; 1; 2; 5; 7; l; 3888; 0; 0; 0; 0; 7776; 0; 0; 0; 0; 0; 0
15; 2; 2; 4; 7; q; 0; 11664; 0; 0; 0; 0; 0; 3888; 0; 0; 0; 0
16; 3; 2; 3; 7; q; 1944; 0; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0
17; 0; 8; 0; 7; q; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
18; 0; 1; 8; 6; q; 648; 0; 3888; 0; 1944; 15552; 0; 0; 11664; 0; 0; 0
19; 1; 1; 7; 6; q; 0; 19440; 0; 18144; 0; 0; 0; 11664; 0; 0; 0; 0
20; 0; 3; 6; 6; q; 7452; 0; 21384; 0; 30132; 46656; 0; 0; 8424; 0; 0; 0
21; 0; 3; 6; 6; l; 2592; 0; 1944; 0; 4860; 11664; 0; 0; 648; 0; 324; 0
22; 2; 1; 6; 6; q; 3888; 0; 9720; 0; 0; 1944; 0; 0; 0; 0; 0; 0
23; 1; 3; 5; 6; q; 0; 46656; 0; 32400; 0; 0; 0; 11664; 0; 0; 0; 0
24; 2; 3; 4; 6; q; 11016; 0; 11664; 0; 0; 4860; 0; 0; 0; 0; 0; 0
25; 2; 3; 4; 6; l; 0; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0
26; 3; 3; 3; 6; q; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
27; 4; 3; 2; 6; l; 324; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
28; 0; 9; 0; 6; q; 2700; 0; 1944; 0; 324; 0; 0; 0; 0; 0; 0; 0
29; 0; 0; 10; 5; q; 0; 0; 0; 1296; 0; 0; 0; 3888; 0; 0; 0; 0
30; 1; 0; 9; 5; q; 0; 0; 5832; 0; 0; 0; 0; 0; 1944; 0; 0; 0
31; 1; 0; 9; 5; l; 648; 0; 0; 0; 0; 1944; 0; 0; 0; 0; 0; 0
32; 0; 2; 8; 5; q; 0; 7776; 0; 23328; 0; 0; 15552; 19440; 0; 0; 0; 0
33; 1; 2; 7; 5; q; 15552; 0; 46656; 0; 0; 19440; 0; 0; 3888; 0; 0; 0
34; 0; 4; 6; 5; q; 0; 11664; 0; 19440; 0; 0; 0; 7776; 0; 0; 0; 0
35; 2; 2; 6; 5; q; 0; 31104; 0; 0; 0; 0; 0; 3888; 0; 0; 0; 0
36; 1; 4; 5; 5; q; 7776; 0; 11664; 0; 0; 3888; 0; 0; 0; 0; 0; 0
37; 1; 4; 5; 5; l; 0; 0; 7776; 0; 0; 0; 0; 0; 0; 0; 0; 0
38; 2; 4; 4; 5; q; 0; 7776; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
39; 0; 1; 10; 4; q; 0; 0; 0; 0; 1944; 3888; 0; 0; 0; 0; 0; 0
40; 0; 1; 10; 4; l; 0; 0; 1944; 0; 0; 0; 0; 0; 1944; 0; 0; 0
41; 1; 1; 9; 4; q; 0; 7776; 0; 7776; 0; 0; 0; 3888; 0; 0; 0; 0
42; 0; 3; 8; 4; q; 6480; 0; 17496; 0; 23328; 15552; 0; 0; 3888; 0; 0; 0
43; 2; 1; 8; 4; q; 1944; 0; 0; 0; 0; 1944; 0; 0; 0; 0; 0; 0
44; 2; 1; 8; 4; l; 0; 0; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0
45; 1; 3; 7; 4; q; 0; 27216; 0; 7776; 0; 0; 0; 3888; 0; 0; 0; 0
46; 0; 5; 6; 4; q; 23328; 0; 23328; 0; 14580; 13608; 0; 0; 0; 0; 0; 0
47; 0; 5; 6; 4; l; 972; 0; 7776; 0; 2916; 0; 0; 0; 0; 0; 0; 0
48; 2; 3; 6; 4; q; 8424; 0; 15552; 0; 0; 0; 0; 0; 0; 0; 0; 0
49; 1; 5; 5; 4; q; 0; 31104; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0
50; 3; 3; 5; 4; q; 0; 7776; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
51; 2; 5; 4; 4; q; 3888; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0
52; 2; 5; 4; 4; l; 1458; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
53; 4; 5; 2; 4; q; 486; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
54; 0; 11; 0; 4; q; 972; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
55; 0; 2; 10; 3; q; 0; 3888; 0; 6480; 0; 0; 3888; 3888; 0; 0; 0; 0
56; 1; 2; 9; 3; q; 4536; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0
57; 1; 2; 9; 3; l; 0; 0; 7776; 0; 0; 0; 0; 0; 0; 0; 0; 0
58; 0; 4; 8; 3; q; 0; 15552; 0; 24624; 0; 0; 3888; 0; 0; 0; 0; 0
59; 2; 2; 8; 3; q; 0; 15552; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
60; 1; 4; 7; 3; q; 28512; 0; 27216; 0; 0; 3888; 0; 0; 0; 0; 0; 0
61; 3; 2; 7; 3; l; 648; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
62; 0; 6; 6; 3; q; 0; 19440; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0
63; 2; 4; 6; 3; q; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
64; 1; 6; 5; 3; q; 7776; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0
65; 1; 6; 5; 3; l; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
66; 3; 4; 5; 3; q; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
67; 0; 3; 10; 2; q; 0; 0; 0; 0; 3888; 0; 0; 0; 0; 0; 0; 0
68; 0; 3; 10; 2; l; 648; 0; 0; 0; 1944; 0; 0; 0; 0; 0; 0; 0
69; 1; 3; 9; 2; q; 0; 7776; 0; 1296; 0; 0; 0; 0; 0; 0; 0; 0
70; 0; 5; 8; 2; q; 9720; 0; 11664; 0; 3888; 0; 0; 0; 0; 0; 0; 0
71; 2; 3; 8; 2; q; 5832; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0
72; 2; 3; 8; 2; l; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
73; 1; 5; 7; 2; q; 0; 7776; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
74; 0; 7; 6; 2; q; 8748; 0; 5832; 0; 972; 0; 0; 0; 0; 0; 0; 0
75; 0; 7; 6; 2; l; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
76; 2; 5; 6; 2; q; 5832; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
77; 2; 7; 4; 2; q; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
78; 1; 4; 9; 1; q; 3888; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0
79; 1; 4; 9; 1; l; 1944; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
80; 0; 6; 8; 1; q; 0; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
81; 1; 6; 7; 1; q; 3888; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
