Type; A; B; C; D; E; nu; 3; 4; 5; 6; 7A; 7B; 8A; 8B; 9; 10; 11; 12
1; 0; 0; 1; 5; 9; q; 0; 0; 0; 0; 0; 58320; 0; 0; 19440; 0; 0; 0
2; 1; 0; 0; 5; 9; q; 0; 0; 0; 12960; 0; 0; 0; 0; 0; 0; 0; 0
3; 0; 1; 1; 4; 9; q; 0; 58320; 0; 233280; 0; 0; 0; 233280; 0; 116640; 0; 19440
4; 0; 2; 1; 3; 9; q; 68040; 0; 174960; 0; 116640; 466560; 0; 0; 262440; 0; 116640; 0
5; 1; 2; 0; 3; 9; q; 0; 0; 0; 12960; 0; 0; 0; 0; 0; 0; 0; 0
6; 0; 3; 1; 2; 9; q; 0; 116640; 0; 421200; 0; 0; 116640; 174960; 0; 116640; 0; 0
7; 0; 4; 1; 1; 9; q; 0; 0; 29160; 0; 58320; 29160; 0; 0; 0; 0; 0; 0
8; 0; 5; 1; 0; 9; q; 0; 0; 0; 9720; 0; 0; 0; 0; 0; 0; 0; 0
9; 0; 0; 0; 7; 8; q; 0; 0; 0; 19440; 0; 0; 58320; 0; 0; 0; 0; 0
10; 0; 1; 0; 6; 8; q; 0; 0; 58320; 0; 238140; 247860; 0; 0; 145800; 0; 0; 0
11; 0; 0; 2; 5; 8; q; 0; 0; 0; 291600; 0; 0; 233280; 233280; 0; 58320; 0; 0
12; 1; 0; 1; 5; 8; q; 0; 0; 58320; 0; 0; 58320; 0; 0; 0; 0; 0; 0
13; 0; 2; 0; 5; 8; q; 0; 116640; 0; 291600; 0; 0; 174960; 233280; 0; 116640; 0; 0
14; 0; 1; 2; 4; 8; q; 58320; 0; 349920; 0; 495720; 787320; 0; 0; 816480; 0; 58320; 0
15; 1; 1; 1; 4; 8; q; 0; 58320; 0; 233280; 0; 0; 0; 58320; 0; 0; 0; 0
16; 0; 3; 0; 4; 8; q; 82620; 0; 58320; 0; 277020; 422820; 0; 0; 145800; 0; 43740; 0
17; 2; 1; 0; 4; 8; l; 0; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
18; 0; 2; 2; 3; 8; q; 0; 174960; 0; 816480; 0; 0; 291600; 583200; 0; 116640; 0; 0
19; 1; 2; 1; 3; 8; l; 0; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0
20; 0; 4; 0; 3; 8; q; 0; 0; 0; 58320; 0; 0; 58320; 0; 0; 0; 0; 0
21; 0; 3; 2; 2; 8; q; 29160; 0; 349920; 0; 0; 116640; 0; 0; 58320; 0; 29160; 0
22; 0; 5; 0; 2; 8; q; 29160; 0; 0; 0; 53460; 0; 0; 0; 29160; 0; 14580; 0
23; 0; 5; 2; 0; 8; q; 0; 0; 14580; 0; 0; 0; 0; 0; 0; 0; 0; 0
24; 0; 7; 0; 0; 8; q; 0; 0; 0; 0; 7290; 0; 0; 0; 0; 0; 0; 0
25; 0; 0; 1; 7; 7; q; 0; 0; 0; 0; 349920; 174960; 0; 0; 174960; 0; 0; 0
26; 0; 1; 1; 6; 7; q; 0; 174960; 0; 991440; 0; 0; 524880; 758160; 0; 291600; 0; 58320
27; 0; 0; 3; 5; 7; q; 68040; 0; 670680; 0; 641520; 1399680; 0; 0; 816480; 0; 408240; 0
28; 1; 0; 2; 5; 7; q; 0; 291600; 0; 583200; 0; 0; 0; 291600; 0; 0; 0; 0
29; 0; 2; 1; 5; 7; q; 116640; 0; 758160; 0; 874800; 1458000; 0; 0; 1166400; 0; 58320; 0
30; 0; 1; 3; 4; 7; q; 0; 1574640; 0; 3888000; 0; 0; 1458000; 3382560; 0; 1341360; 0; 174960
31; 1; 1; 2; 4; 7; q; 233280; 0; 1049760; 0; 0; 583200; 0; 0; 233280; 0; 0; 0
32; 1; 1; 2; 4; 7; l; 0; 0; 174960; 0; 0; 0; 0; 0; 58320; 0; 0; 0
33; 0; 3; 1; 4; 7; q; 0; 233280; 0; 583200; 0; 0; 291600; 524880; 0; 0; 0; 0
34; 2; 1; 1; 4; 7; q; 0; 213840; 0; 0; 0; 0; 0; 58320; 0; 0; 0; 0
35; 0; 2; 3; 3; 7; q; 554040; 0; 1195560; 0; 845640; 2682720; 0; 0; 729000; 0; 58320; 0
36; 0; 2; 3; 3; 7; l; 0; 0; 320760; 0; 0; 0; 0; 0; 145800; 0; 0; 0
37; 1; 2; 2; 3; 7; q; 0; 388800; 0; 233280; 0; 0; 0; 233280; 0; 0; 0; 0
38; 0; 4; 1; 3; 7; q; 0; 0; 58320; 0; 116640; 58320; 0; 0; 0; 0; 0; 0
39; 2; 2; 1; 3; 7; q; 58320; 0; 116640; 0; 0; 58320; 0; 0; 0; 0; 0; 0
40; 3; 2; 0; 3; 7; q; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
41; 0; 3; 3; 2; 7; q; 0; 758160; 0; 583200; 0; 0; 0; 233280; 0; 58320; 0; 0
42; 0; 5; 3; 0; 7; q; 0; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
43; 0; 1; 0; 8; 6; q; 43740; 0; 58320; 0; 335340; 131220; 0; 0; 233280; 0; 14580; 0
44; 0; 0; 2; 7; 6; q; 0; 524880; 0; 1516320; 0; 0; 1224720; 2507760; 0; 758160; 0; 77760
45; 1; 0; 1; 7; 6; q; 136080; 0; 466560; 0; 0; 466560; 0; 0; 136080; 0; 0; 0
46; 0; 2; 0; 7; 6; q; 0; 174960; 0; 174960; 0; 0; 233280; 291600; 0; 58320; 0; 0
47; 2; 0; 0; 7; 6; q; 0; 58320; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0
